Epoch,Mean Loss
1,10.1099996567
1,0.432881449574
2,0.156589064362
3,0.115528887844
4,0.104697540274
5,0.0789774157235
6,0.0708233652444
7,0.0684899591423
8,0.0650876664781
9,0.0602343150511
10,0.0536889566815
11,0.0500328026327
12,0.0456006063213
13,0.0424906225425
14,0.0399890530469
15,0.0373057080754
16,0.0361194244811
17,0.0345755627315
18,0.0521015379385
19,0.0457864857182
20,0.0468064577736
21,0.0349264599319
22,0.0318000577711
23,0.0295343592378
24,0.0281534525084
25,0.0270179786623
26,0.0297155134573
27,0.0273237144896
28,0.0265265698866
29,0.02501896149
30,0.0318371701086
31,0.0262303889954
32,0.0239388598129
33,0.0228847091825
34,0.0228987102846
35,0.0218779275932
36,0.0207199956419
37,0.0206091317573
38,0.0207222430678
39,0.0198982111821
40,0.0187800038477
41,0.0187352977308
42,0.0177496935658
43,0.0189842561356
44,0.0185427538055
45,0.0180957102827
46,0.0183297062196
47,0.0175501046349
48,0.0170326683799
49,0.0160655591894
50,0.0158178157912
51,0.0155997359162
52,0.016525922584
53,0.0167516422586
54,0.0155283245419
55,0.0167080982074
56,0.0151372431649
57,0.0143409204059
58,0.0142124130808
59,0.0136640485183
60,0.0144197164296
